ticker,category,bin,direction,p,y,gross_pnl,fee,net_pnl
KXSECPRESSMENTION-26MAY07-SHUT,Mentions,"(0.4, 0.5]",-1,0.46,1.0,-0.9750000000000001,0.0017062499999999944,-0.9767062500000001
KXSECPRESSMENTION-26MAY07-KING,Mentions,"(0.8, 0.9]",-1,0.8933,1.0,-0.5917,0.0169113777,-0.6086113777
KXSECPRESSMENTION-26MAY07-HERO,Mentions,"(0.8, 0.9]",-1,0.87,1.0,-0.565,0.017204250000000004,-0.58220425
KXSECPRESSMENTION-26MAY07-PREG,Mentions,"(0.4, 0.5]",-1,0.5,0.0,0.015000000000000013,0.001034250000000001,0.013965750000000013
KXHOCHULMENTION-26APR22B-ECON,Mentions,"(0.5, 0.6]",-1,0.587,1.0,-0.603,0.016757370000000004,-0.61975737
KXHOCHULMENTION-26APR22B-BUFF,Mentions,"(0.7, 0.8]",-1,0.79,1.0,-0.4,0.016800000000000002,-0.4168
KXHOCHULMENTION-26APR22B-BILL,Mentions,"(0.3, 0.4]",-1,0.37,0.0,0.18999999999999995,0.010772999999999998,0.17922699999999994
KXHOCHULMENTION-26APR22B-MAYO,Mentions,"(0.7, 0.8]",-1,0.72,1.0,-0.4700000000000001,0.017437,-0.48743700000000006
KXHOCHULMENTION-26APR22B-IRAN,Mentions,"(0.3, 0.4]",-1,0.35,0.0,0.15999999999999992,0.009407999999999998,0.15059199999999992
KXBNB15M-26APR271415-15,Crypto,"(0.2, 0.3]",-1,0.27,0.0,0.10000000000000009,0.006300000000000005,0.09370000000000009
KXMAMDANIMENTION-26APR25-SAFE,Mentions,"(0.6, 0.7]",-1,0.62,1.0,-0.8300000000000001,0.009876999999999999,-0.8398770000000001
KXMAMDANIMENTION-26APR25-BILL,Mentions,"(0.4, 0.5]",-1,0.48,0.0,0.030000000000000027,0.002037000000000002,0.027963000000000026
KXMAMDANIMENTION-26APR25-ECON,Mentions,"(0.3, 0.4]",-1,0.4,1.0,-1.05,0.0006930000000000006,-1.050693
KXINXU-26APR27H1600-T6849.9999,Financials,"(0.9, 1.0]",-1,0.98,1.0,-0.03500000000000003,0.002364250000000002,-0.037364250000000036
KXINXU-26APR27H1600-T6874.9999,Financials,"(0.9, 1.0]",-1,0.9802,1.0,-0.03980000000000006,0.002675117200000004,-0.042475117200000065
KXINXU-26APR27H1600-T7024.9999,Financials,"(0.9, 1.0]",-1,0.96,1.0,-0.065,0.00425425,-0.06925425
KXINXU-26APR27H1600-T6999.9999,Financials,"(0.9, 1.0]",-1,0.9823,1.0,-0.042700000000000016,0.0028613697000000014,-0.04556136970000002
KXPOLITICSMENTION-26APR27-NQE,Mentions,"(-0.001, 0.1]",1,0.0133,0.0,-0.4633,0.0174057177,-0.4807057177
KXPOLITICSMENTION-26APR27-MANI,Mentions,"(0.8, 0.9]",-1,0.86,1.0,-0.5900000000000001,0.016933,-0.6069330000000001
KXPOLITICSMENTION-26APR27-TRUM,Mentions,"(0.6, 0.7]",-1,0.66,1.0,-0.79,0.011613,-0.801613
KXPOLITICSMENTION-26APR27-BUTL,Mentions,"(0.3, 0.4]",-1,0.4,0.0,-0.050000000000000044,0.0006930000000000006,-0.050693000000000044
KXPOLITICSMENTION-26APR27-SECR,Mentions,"(0.8, 0.9]",-1,0.86,1.0,-0.5900000000000001,0.016933,-0.6069330000000001
KXPOLITICSMENTION-26APR27-SHOT,Mentions,"(0.8, 0.9]",-1,0.86,1.0,-0.5900000000000001,0.016933,-0.6069330000000001
KXPOLITICSMENTION-26APR27-BIDE,Mentions,"(0.3, 0.4]",-1,0.3722,0.0,-0.07780000000000009,0.0006930000000000006,-0.07849300000000009
KXETH-26APR2717-B2400,Crypto,"(0.2, 0.3]",-1,0.21,0.0,0.08999999999999997,0.0057329999999999985,0.08426699999999997
KXMLBMENTION-26APR26LAAKC-WILD,Mentions,"(0.3, 0.4]",-1,0.3149,0.0,-0.1251,0.0006930000000000006,-0.125793
KXMLBMENTION-26APR26LAAKC-PINC,Mentions,"(0.9, 1.0]",-1,0.91,0.0,0.47,0.017437,0.452563
KXBNB15M-26APR271730-30,Crypto,"(0.2, 0.3]",-1,0.2528,1.0,-0.9471999999999999,0.0035008512000000045,-0.9507008511999999
KXHEARINGMENTION-26APR27B-AFFO,Mentions,"(0.3, 0.4]",-1,0.3411,1.0,-1.1089,0.0006930000000000006,-1.109593
KXHEARINGMENTION-26APR27-ELON,Mentions,"(0.3, 0.4]",-1,0.35,0.0,-0.10000000000000009,0.0006930000000000006,-0.10069300000000009
KXHEARINGMENTION-26APR27-SPAC,Mentions,"(0.5, 0.6]",-1,0.5444,1.0,-0.9056,0.005984204800000003,-0.9115842047999999
KXHEARINGMENTION-26APR27-AI,Mentions,"(0.4, 0.5]",-1,0.45,1.0,-1.0,0.0006930000000000006,-1.000693
KXHEARINGMENTION-26APR27-ARTE,Mentions,"(0.8, 0.9]",-1,0.893,1.0,-0.5569999999999999,0.01727257,-0.57427257
KXHEARINGMENTION-26APR27-MOON,Mentions,"(0.8, 0.9]",-1,0.85,1.0,-0.6000000000000001,0.0168,-0.6168000000000001
KXTRUEV-26APR27-T1157.24,Economics,"(0.9, 1.0]",-1,0.98,1.0,-0.51,0.017493,-0.527493
KXTRUFDEAD-26APR27-T403.95,Economics,"(0.9, 1.0]",-1,0.98,1.0,-0.51,0.017493,-0.527493
KXTRUFDEAD-26APR27-T406.45,Economics,"(0.9, 1.0]",-1,0.98,1.0,-0.51,0.017493,-0.527493
KXUE-JPN26APR-2.2,Economics,"(0.9, 1.0]",-1,0.94,1.0,-0.555,0.01728825,-0.57228825
KXUE-JPN26APR-2.1,Economics,"(0.9, 1.0]",-1,0.95,1.0,-0.55,0.017325,-0.5673250000000001
